district,fiscal_year,check,name,car,audited,gap,gap_pct,flag
Des Moines Independent CSD,2020,C18_fb_pct_exp,Fund balance % of expenditure,28.85,28.9,-0.05,,
Des Moines Independent CSD,2020,C6_rollforward,CAR begin = prior CAR end,96785637.61,96785637.61,0.0,0.0,
Des Moines Independent CSD,2021,C1_ending,Ending GF fund balance,184265143.83,184265129.0,14.83,0.0,
Des Moines Independent CSD,2021,C10_revenue,GF revenue,510900843.12,508163078.0,2737765.12,0.54,
Des Moines Independent CSD,2021,C11_expenditure,GF expenditure,451695723.43,450242429.0,1453294.43,0.32,
Des Moines Independent CSD,2021,C13_margin,Operating margin %,11.59,11.4,0.19,,
Des Moines Independent CSD,2021,C18_fb_pct_exp,Fund balance % of expenditure,40.79,40.93,-0.13,,
Des Moines Independent CSD,2021,C6_rollforward,CAR begin = prior CAR end,125060024.14,125060024.14,0.0,0.0,
Des Moines Independent CSD,2021,C7_begin_vs_audit,CAR begin vs prior audited end,125060024.14,125060027.0,-2.86,-0.0,
Des Moines Independent CSD,2021,C8_net_change,Net change in fund balance,59205119.69,59205102.0,17.69,0.0,
Des Moines Independent CSD,2022,C1_ending,Ending GF fund balance,179845919.84,179845901.0,18.84,0.0,
Des Moines Independent CSD,2022,C10_revenue,GF revenue,465326407.0,459373498.0,5952909.0,1.3,Y
Des Moines Independent CSD,2022,C11_expenditure,GF expenditure,469829650.99,465845285.0,3984365.99,0.86,
Des Moines Independent CSD,2022,C13_margin,Operating margin %,-0.97,-1.41,0.44,,
Des Moines Independent CSD,2022,C18_fb_pct_exp,Fund balance % of expenditure,38.28,38.61,-0.33,,
Des Moines Independent CSD,2022,C6_rollforward,CAR begin = prior CAR end,184265143.83,184265143.83,0.0,0.0,
Des Moines Independent CSD,2022,C7_begin_vs_audit,CAR begin vs prior audited end,184265143.83,184265129.0,14.83,0.0,
Des Moines Independent CSD,2022,C8_net_change,Net change in fund balance,-4419223.99,-4419228.0,4.01,-0.0,
Des Moines Independent CSD,2023,C1_ending,Ending GF fund balance,184326861.91,184326862.0,-0.09,-0.0,
Des Moines Independent CSD,2023,C2_available,Available (unassigned+assigned),164996436.64,163289837.0,1706599.64,1.05,Y
Des Moines Independent CSD,2023,C10_revenue,GF revenue,499019872.73,488691573.0,10328299.73,2.11,Y
Des Moines Independent CSD,2023,C11_expenditure,GF expenditure,494538930.66,486633749.0,7905181.66,1.62,Y
Des Moines Independent CSD,2023,C13_margin,Operating margin %,0.9,0.42,0.48,,
